category_code,category_id,total_events,unique_products,unique_users,views,cart_adds,purchases,cart_removals,view_to_purchase_rate,view_to_cart_rate,cart_to_purchase_rate,cart_abandonment_rate,avg_purchase_price,min_price,max_price
electronics.smartphone,2053013555631882655,28688339,1437,2594265,26224484,1734414,729441,0,2.78,6.61,42.06,0.00,463.51,35.75,2562.49
construction.tools.light,2232732093077520756,16259279,830,1775621,14449061,1310864,499354,0,3.46,9.07,38.09,0.00,430.09,3.93,2562.49
electronics.audio.headphone,2053013554658804075,4291394,2960,660011,3969455,231717,90222,0,2.27,5.84,38.94,0.00,207.96,0.87,2574.04
sport.bicycle,2232732079706079299,2007295,1728,390697,1787510,163165,56620,0,3.17,9.13,34.70,0.00,135.57,0.86,566.27
electronics.video.tv,2053013554415534427,3802336,1289,470715,3588710,157031,56595,0,1.58,4.38,36.04,0.00,385.35,23.17,2574.04
appliances.personal.massager,2232732099754852875,2097755,348,258332,1936807,120571,40377,0,2.08,6.23,33.49,0.00,398.16,96.53,2574.04
computers.notebook,2053013558920217191,3675015,1672,354653,3554085,83731,37199,0,1.05,2.36,44.43,0.00,594.44,8.73,2574.04
appliances.kitchen.washer,2053013563810775923,2315411,625,280075,2185366,93651,36394,0,1.67,4.29,38.86,0.00,289.94,44.53,2162.19
appliances.environment.vacuum,2053013565983425517,2386007,771,282908,2268660,85810,31537,0,1.39,3.78,36.75,0.00,146.15,7.72,1878.81
electronics.clocks,2053013553341792533,1894098,498,337269,1792206,71664,30228,0,1.69,4.00,42.18,0.00,328.72,15.42,2522.59
appliances.kitchen.refrigerators,2053013563835941749,1810855,741,432231,1724303,62038,24514,0,1.42,3.60,39.51,0.00,533.25,36.01,2573.81
electronics.clocks,2232732103101907535,1075520,355,207236,994574,57765,23181,0,2.33,5.81,40.13,0.00,315.45,15.42,2574.07
appliances.environment.vacuum,2232732101063475749,1161409,511,157062,1086423,55725,19261,0,1.77,5.13,34.56,0.00,150.22,7.72,1878.06
appliances.kitchen.washer,2232732092297380188,1023645,390,129514,946604,58255,18786,0,1.98,6.15,32.25,0.00,292.65,15.16,2159.00
appliances.kitchen.refrigerators,2053013563911439225,1599162,1168,197768,1537940,44555,16667,0,1.08,2.90,37.41,0.00,399.62,77.20,2327.23
apparel.shoes.sandals,2232732098446229999,1078951,2098,187187,1016813,46093,16045,0,1.58,4.53,34.81,0.00,79.59,2.57,875.18
computers.peripherals.printer,2053013553056579841,1284033,2601,268417,1231745,37803,14485,0,1.18,3.07,38.32,0.00,209.34,7.72,2572.23
