first_event_hour,day_type,session_count,purchase_sessions,purchase_rate,avg_events,avg_duration_seconds
0,Weekday,204961,6960,3.40,4.5,1904.3
0,Weekend,66293,2371,3.58,5.5,1380.6
1,Weekday,365123,11960,3.28,4.4,1979.9
1,Weekend,129417,4019,3.11,5.4,1626.3
2,Weekday,722417,30117,4.17,4.3,1690.4
2,Weekend,248162,8867,3.57,5.2,1488.0
3,Weekday,1070928,62962,5.88,4.1,1429.3
3,Weekend,387342,22169,5.72,4.9,1425.6
4,Weekday,1376565,88597,6.44,4.0,1260.3
4,Weekend,534756,37534,7.02,4.9,1191.5
5,Weekday,1539359,102398,6.65,4.0,1213.6
5,Weekend,622635,46369,7.45,4.7,1097.9
6,Weekday,1612919,109336,6.78,4.0,1222.6
6,Weekend,665872,50591,7.60,4.6,1085.9
7,Weekday,1622747,113386,6.99,4.1,1185.9
7,Weekend,691291,52612,7.61,4.5,1132.5
8,Weekday,1687953,117465,6.96,4.0,1153.6
8,Weekend,704043,58397,8.29,4.5,1104.6
9,Weekday,1652699,115523,6.99,4.1,1173.6
9,Weekend,694475,61565,8.86,4.5,1169.8
10,Weekday,1588490,107920,6.79,4.0,1146.8
10,Weekend,678314,59806,8.82,4.7,1119.0
11,Weekday,1512610,98210,6.49,4.0,1194.0
11,Weekend,659938,56531,8.57,4.7,1010.2
12,Weekday,1474656,89548,6.07,4.2,1298.7
12,Weekend,649123,53199,8.20,4.8,1189.3
13,Weekday,1566947,87417,5.58,4.5,1382.3
13,Weekend,673839,50719,7.53,4.9,1215.5
14,Weekday,1670957,86083,5.15,4.7,1466.1
14,Weekend,694242,49046,7.06,5.0,1168.6
15,Weekday,1713152,84059,4.91,4.9,1420.4
15,Weekend,685025,41780,6.10,5.3,1112.5
16,Weekday,1642309,77045,4.69,5.1,1396.2
16,Weekend,649902,37175,5.72,5.6,1229.5
17,Weekday,1442389,65466,4.54,5.3,1301.4
17,Weekend,597713,33580,5.62,5.7,1146.5
18,Weekday,1161218,50427,4.34,5.2,1385.5
18,Weekend,470270,22115,4.70,5.6,1226.2
19,Weekday,726576,34120,4.70,5.4,1319.4
19,Weekend,334174,15794,4.73,5.5,1152.0
20,Weekday,420439,20634,4.91,5.5,1219.8
20,Weekend,198943,9676,4.86,5.4,1140.8
21,Weekday,248949,12630,5.07,5.5,1266.9
21,Weekend,114694,6095,5.31,5.5,1196.3
22,Weekday,161083,8123,5.04,5.4,1377.0
22,Weekend,70333,3810,5.42,5.3,1221.3
23,Weekday,129420,5742,4.44,5.1,1516.0
23,Weekend,56408,2791,4.95,5.3,1360.0
